cell,tier,family,part_suffix,equivalents,function,inputs,gates_per_pkg,package,mfrs,vcc_min,vcc_max,area,tpd_ns,iq_ua
INV,G,AUP,1G04,,!A,1,1,SOT-353,"TI;Nexperia;Diodes",0.8,3.6,1.0,4.6,0.9
BUF,G,AUP,1G34,,A,1,1,SOT-353,"TI;Nexperia",0.8,3.6,1.0,4.6,0.9
NAND2,G,AUP,1G00,,!(A&B),2,1,SOT-353,"TI;Nexperia;Diodes",0.8,3.6,1.0,5.1,0.9
NAND3,G,AUP,1G10,,!(A&B&C),3,1,SOT-353,"TI;Nexperia",0.8,3.6,1.0,5.5,0.9
NOR2,G,AUP,1G02,,!(A|B),2,1,SOT-353,"TI;Nexperia",0.8,3.6,1.0,5.1,0.9
NOR3,G,AUP,1G27,,!(A|B|C),3,1,SOT-353,"TI;Nexperia",0.8,3.6,1.0,5.5,0.9
AND2,G,AUP,1G08,,A&B,2,1,SOT-353,"TI;Nexperia",0.8,3.6,1.0,5.1,0.9
AND3,G,AUP,1G11,,A&B&C,3,1,SOT-353,"TI;Nexperia",0.8,3.6,1.0,5.5,0.9
OR2,G,AUP,1G32,,A|B,2,1,SOT-353,"TI;Nexperia",0.8,3.6,1.0,5.1,0.9
XOR2,G,AUP,1G86,,A^B,2,1,SOT-353,"TI;Nexperia",0.8,3.6,1.0,5.1,0.9
DFF,F,AUP,1G79,,,2,1,SOT-353,"TI;Nexperia",0.8,3.6,1.0,7.2,0.9
DFF_R,F,AUP,1G175,,,3,1,SOT-353,"TI;Nexperia",0.8,3.6,1.0,7.5,0.9
DFF_S,F,AUP,,,,3,1,SOT-353,,0.8,3.6,1.0,7.5,0.9
DFF_SR,F,AUP,1G74,,,4,1,SOT-353,"TI;Nexperia",0.8,3.6,1.0,7.5,0.9
CNT4,M,LVC,74LVC161,,,3,1,SO-16,"TI;Nexperia",1.65,5.5,8.0,,4.0
SUPERVISOR,S,-,TPS3839,"APX803:Diodes;NCP303:onsemi",,1,1,SOT-23,"TI",1.6,6.0,2.0,,0.15
INV,G,AUP,2G04,,!A,1,2,SOT-363,"TI;Nexperia",0.8,3.6,1.4,4.6,0.9
INV,G,AUP,3G04,,!A,1,3,VSSOP-8,"TI;Nexperia",0.8,3.6,2.0,4.6,0.9
NAND2,G,AUP,2G00,,!(A & B),2,2,VSSOP-8,"TI;Nexperia",0.8,3.6,2.0,5.1,0.9
NOR2,G,AUP,2G02,,!(A | B),2,2,VSSOP-8,"TI;Nexperia",0.8,3.6,2.0,5.1,0.9
AND2,G,AUP,2G08,,A & B,2,2,VSSOP-8,"TI;Nexperia",0.8,3.6,2.0,5.1,0.9
OR2,G,AUP,2G32,,A | B,2,2,VSSOP-8,"TI;Nexperia",0.8,3.6,2.0,5.1,0.9
