part_suffix,package,pin,signal,gate
1G04,SOT-353,1,A,1
1G04,SOT-353,2,Y,1
1G04,SOT-353,3,VCC,
1G04,SOT-353,4,GND,
1G04,SOT-353,5,NC,
1G34,SOT-353,1,A,1
1G34,SOT-353,2,Y,1
1G34,SOT-353,3,VCC,
1G34,SOT-353,4,GND,
1G34,SOT-353,5,NC,
1G00,SOT-353,1,A,1
1G00,SOT-353,2,B,1
1G00,SOT-353,3,Y,1
1G00,SOT-353,4,VCC,
1G00,SOT-353,5,GND,
1G02,SOT-353,1,A,1
1G02,SOT-353,2,B,1
1G02,SOT-353,3,Y,1
1G02,SOT-353,4,VCC,
1G02,SOT-353,5,GND,
1G08,SOT-353,1,A,1
1G08,SOT-353,2,B,1
1G08,SOT-353,3,Y,1
1G08,SOT-353,4,VCC,
1G08,SOT-353,5,GND,
1G11,SOT-363,1,A,1
1G11,SOT-363,2,B,1
1G11,SOT-363,3,C,1
1G11,SOT-363,4,Y,1
1G11,SOT-363,5,VCC,
1G11,SOT-363,6,GND,
1G32,SOT-353,1,A,1
1G32,SOT-353,2,B,1
1G32,SOT-353,3,Y,1
1G32,SOT-353,4,VCC,
1G32,SOT-353,5,GND,
1G86,SOT-353,1,A,1
1G86,SOT-353,2,B,1
1G86,SOT-353,3,Y,1
1G86,SOT-353,4,VCC,
1G86,SOT-353,5,GND,
1G157,SOT-363,1,A,1
1G157,SOT-363,2,B,1
1G157,SOT-363,3,C,1
1G157,SOT-363,4,Y,1
1G157,SOT-363,5,VCC,
1G157,SOT-363,6,GND,
1G79,SOT-353,1,CK,1
1G79,SOT-353,2,D,1
1G79,SOT-353,3,Q,1
1G79,SOT-353,4,VCC,
1G79,SOT-353,5,GND,
1G175,SOT-363,1,CK,1
1G175,SOT-363,2,D,1
1G175,SOT-363,3,Q,1
1G175,SOT-363,4,RST_N,1
1G175,SOT-363,5,VCC,
1G175,SOT-363,6,GND,
2G04,SOT-363,1,A,1
2G04,SOT-363,2,Y,1
2G04,SOT-363,3,A,2
2G04,SOT-363,4,Y,2
2G04,SOT-363,5,VCC,
2G04,SOT-363,6,GND,
2G34,SOT-363,1,A,1
2G34,SOT-363,2,Y,1
2G34,SOT-363,3,A,2
2G34,SOT-363,4,Y,2
2G34,SOT-363,5,VCC,
2G34,SOT-363,6,GND,
2G00,VSSOP-8,1,A,1
2G00,VSSOP-8,2,B,1
2G00,VSSOP-8,3,Y,1
2G00,VSSOP-8,4,A,2
2G00,VSSOP-8,5,B,2
2G00,VSSOP-8,6,Y,2
2G00,VSSOP-8,7,VCC,
2G00,VSSOP-8,8,GND,
2G02,VSSOP-8,1,A,1
2G02,VSSOP-8,2,B,1
2G02,VSSOP-8,3,Y,1
2G02,VSSOP-8,4,A,2
2G02,VSSOP-8,5,B,2
2G02,VSSOP-8,6,Y,2
2G02,VSSOP-8,7,VCC,
2G02,VSSOP-8,8,GND,
2G08,VSSOP-8,1,A,1
2G08,VSSOP-8,2,B,1
2G08,VSSOP-8,3,Y,1
2G08,VSSOP-8,4,A,2
2G08,VSSOP-8,5,B,2
2G08,VSSOP-8,6,Y,2
2G08,VSSOP-8,7,VCC,
2G08,VSSOP-8,8,GND,
2G32,VSSOP-8,1,A,1
2G32,VSSOP-8,2,B,1
2G32,VSSOP-8,3,Y,1
2G32,VSSOP-8,4,A,2
2G32,VSSOP-8,5,B,2
2G32,VSSOP-8,6,Y,2
2G32,VSSOP-8,7,VCC,
2G32,VSSOP-8,8,GND,
2G86,VSSOP-8,1,A,1
2G86,VSSOP-8,2,B,1
2G86,VSSOP-8,3,Y,1
2G86,VSSOP-8,4,A,2
2G86,VSSOP-8,5,B,2
2G86,VSSOP-8,6,Y,2
2G86,VSSOP-8,7,VCC,
2G86,VSSOP-8,8,GND,
3G04,VSSOP-8,1,A,1
3G04,VSSOP-8,2,Y,1
3G04,VSSOP-8,3,A,2
3G04,VSSOP-8,4,Y,2
3G04,VSSOP-8,5,A,3
3G04,VSSOP-8,6,Y,3
3G04,VSSOP-8,7,VCC,
3G04,VSSOP-8,8,GND,
3G34,VSSOP-8,1,A,1
3G34,VSSOP-8,2,Y,1
3G34,VSSOP-8,3,A,2
3G34,VSSOP-8,4,Y,2
3G34,VSSOP-8,5,A,3
3G34,VSSOP-8,6,Y,3
3G34,VSSOP-8,7,VCC,
3G34,VSSOP-8,8,GND,
